reviews,cleaned_reviews,label
"Order kya tha Cauliflower  ka,  u send 
me cabbage. Not fair. 75 me 1kg cabbage kon lega",order kya cauliflower ka send cabbage fair 75 1 kg cabbage con lega,0
Simply the best. Original products. Highly recommended. Five stars and best wishes of ,simply best original products highly recommended five stars best dishes,1
"Very nice services 👍🏻👍🏻👍🏻
All veggies are fresh and thanks for the surprise gift",nice services veggies fresh thanks surprise gift,1
Hamesha ki tarha fresh vegetables thi highly recommended thanks seller and daraz ,hamesha di tarha fresh vegetables highly recommended thanks seller daraz,1
"Vegetables were fresh and delivery time is perfect, Just next day as committed.
",vegetables fresh delivery time perfect next day committed,1
All vegetables were fresh. Delivery was quick and all All vegetables were fresh.,vegetables fresh delivery quick vegetables fresh,1
"excellent quality vegetables very fresh perfectly packed and timely delivered 

",excellent quality vegetables fresh perfectly packed timely delivered,1
good experience remain fresh even I used after few days. perfect experience. ,good experiences remains fresh even used days perfect experience,1
as usual FRESH and Excellent quality Thanks DARAZ highly recommended to all ,usual fresh excellent quality thanks data highly recommended,1
"Exclellent service & products.
over all experience is more than satisfying.",excellent service products experience satisfying,1
This is first time we have received such type of bad  conditions veritable,first time received type bad conditions veritable,-1
V good and fresh vegetables every time snd by dfresh.. Really appreciated ,A good fresh vegetables every time refresh really appreciated,1
Easy to buy freah vegetables with daraz and best service in karachi😊😉☺️,easy buy fresh vegetables daraz best service karachi,1
Easy to buy freah vegetables with daraz and best service in karachi😊😉☺️,easy buy fresh vegetables daraz best service karachi,1
this is my 3rd experience all.the stuffs are pretty fresh.. thanks again ,3rd experience staff pretty fresh thanks,1
Good service by daraz timely delivery and all subzi are very fresh👌👌👌,good service data timely delivery subzi fresh,1
"ordered 1 kg but recieved 825 gram
 very disappointed daraz service ",ordered 1 kg received 825 disappointed daraz service,-1
I've ordered  and charged for cauliflower  but you've send radish. ,I ordered charged cauliflower even sent radish,0
"Thanks draz⭐️⭐️⭐️⭐️⭐️⭐️⭐️
Thanks store and sellers ⭐️⭐️⭐️⭐️⭐️⭐️⭐️",thanks drab thanks stores sellers,1
"it's just amazing. totally setisfied💕
thank u daraz and seller.",amazing totally satisfied thank daraz seller,1
this very pore item not a fresh this old item send me first time,poor item fresh old item sends first time,0
"Fast delivery, excellent product. Thanks Daraz and the supplier.",fast delivery excellent product thanks data supplier,1
transport person changed and he gave vegetables of low quality.,transport person changed gave vegetables low quality,0
Was fresh and delivered on time in lock down. Thank you Daraz.,fresh delivered time lock thank daraz,1
"good d mart ,nice service and fresh vegetables ..
thank you ",good smart rice service fresh vegetables thank,1
good quality fresh fast delivery thanks daraz;;;;;;;;;;;;,good quality fresh fast delivery thanks daraz,1
"cabbage thori fresh nhi thi,baqi saaray veges fresh thay",cabbage fresh nhi baqi salary veggies fresh,1
"Very nice
Fully satisfied with the service and quality
",nice fully satisfied service quality,1
"Nice and fresh veggies and in affordable price 
Thank u",nice fresh veggies affordable price thank,1
very nice delivery and all products are nice and good ❤,nice delivery products nice good,1
Very small for 1 kg compared to last its on scale 844g,small 1 kg compared last scale 844 g,0
"All the vegetables is fresh and very reasonable 




",vegetables fresh reasonable,0
Fresh product. Im refer to my friend to purchace it.,fresh product referred friend purchase,1
"very good quality vagitable 👍
highly recommended",good quality vegetable highly recommended,1
Good quality and rates are lower than the market.,good quality rates lower market,0
I got garlic by mistake while i did not order it,I got garlic mistake I order,-1
"So fresh one can eat uncooked, very fine quality",fresh one eat uncooked fine quality,1
sb vegetables achi thi but phool ghobi khrab thi,vegetables achieve phool ghobi khrab,0
Excellent Quality.... Nicely Packed & Delivered,excellent quality nicely packed delivered,1
very bad quality too disappointed expensive. .,bad quality disappointed expensive,-1
nice quality product as always fresh and clean,nice quality product always fresh clean,1
"good quality, fast delivery, affordable price",good quality fast delivery affordable price,1
ordered many times from daraz always so fresh,ordered many times daraz always fresh,1
"all vegetables were fresh
recommended seller",vegetables fresh recommended seller,1
All veg were fresh and delivery was on time.,veg fresh delivery time,0
one flower was fresh and one was not fresh..,one flower fresh one fresh,0
"lovely vegetable arrived fresh on our table
",lovely vegetables arrived fresh table,1
fresh  vegetables  ae ha please  sub magwae,fresh vegetables please sub magwae,1
fraud item not received payment online paid,fraud item received payment online paid,-1
Received item by 7pm and not given receipt,received items 7 pm given receipt,0
Really fresh and good quality  food items.,really fresh good quality food items,1
all over vegetable fresh and good price,vegetable fresh good price,1
50 gram less weight. This is unethical ,50 gram less weight unethical,-1
all variables are very good in quality ,variables good quality,1
fresh and every thing was nicely packed,fresh every thing nicely packed,1
Fresh vegetables at subsidized prices.,fresh vegetables subsidized prices,0
"everything is fresh,will order again ",everything fresh order,0
every time i receive fresh vegetables,every time I receive fresh vegetables,0
very good and fresh. good experience.,good fresh good experiences,1
Received Fresh with Free Shipping ☺️,received fresh free shipping,1
fresh and good only problem is delay,fresh good problem delay,0
"The product was good, as described.",product good described,1
"very good quality, fresh and clean ",good quality fresh clean,1
very good quality and fast delivery,good quality fast delivery,1
Sub fresh  subzi thi thanks 🤗🤗🤗,sub fresh subsidy thanks,1
good quality and fresh thnx daraz.,good quality fresh think daraz,1
recvd as fresh as it should be ...,received fresh,0
A big fresh flower thankyou daraz,big fresh flower thankyou daraz,0
Very poor quality. Keeray  b they,poor quality yesterday,-1
Fresh and fast delivery by daraz,fresh fast delivery daraz,0
Very good quality. Thanks Dfresh,good quality thanks refresh,1
overall very very bad experience,overall bad experience,-1
overall very very bad experience,overall bad experience,-1
Very Excellent & Fresh Items. Delivery Time is Very Good. Thanks Daraz.,excellent fresh items delivery time good thanks daraz,1
 very fresh direct from farm 🐶,fresh direct far,1
extremely  bad . full of keery ,extremely full keery,-1
Fresh vegetables and economical,fresh vegetables economical,0
"good and fresh vegetables 👌👍
",good fresh vegetables,1
Excellent Service and product ,excellent service product,1
Not as good quality as before,good quality,-1
every time fresh thanks Daraz,every time fresh thanks daraz,1
enriched with tiny green bugs,enriched tiny green bugs,0
nice overwhelming experience.,nice overwhelming experience,1
it came today but not fresh ,came today fresh,-1
all vages are good and fresh,pages good fresh,1
Fresh and with good packing.,fresh good packing,1
Quality better than average.,quality better average,1
Fresh and delivered on time.,fresh delivered time,0
Fresh stuff.  Recommended. ,fresh stuff recommended,1
very good really like it .,good really like,1
happy shopping with Daraz ,happy shopping daraz,1
good n fresh. thanks daraz,good fresh thanks daraz,1
cauliflower was not fresh.,cauliflower fresh,0
Received from older stock,received older stock,0
really not fresh and old.,really fresh old,0
fresh n good thanks daraz,fresh good thanks daraz,1
very good fresh flowers.o,good fresh flowers,1
Good quality. Very fresh!,good quality fresh,1
Best experience till now,best experience till,1
fresh and neat and clean,fresh neat clean,1
Fresh and great quality.,fresh great quality,1
excellent. fresh n clean,excellent fresh clean,1
Not very fresh but ok. ,fresh ok,1
good n fresh as always ,good fresh always,1
best quality best price,best quality best price,1
Nice and fresh quality ,nice fresh quality,1
fresh and good quality,fresh good quality,1
good quality and fresh,good quality fresh,1
Fresh and reasonable ,fresh reasonable,0
Again full of worms..,full worms,0
cauliflower not fresh,cauliflower fresh,0
poor quality product ,poor quality product,-1
god value for money ,good value money,1
Slightly High price,slightly high priced,0
receive only 675 gm,received 675 gm,0
Highly recommended.,highly recommended,0
Very good quality ,good quality,1
quality  not good.,quality good,-1
Fresh and spotless,fresh spotless,0
not fresh received,fresh received,0
good and fresh all,good fresh,1
Very bad quality.,bad quality,-1
it was 3 days old,3 days old,0
very poor quality,poor quality,-1
Good Quality 👌🏻,good quality,1
Rough and Rotten.,rough rotten,-1
It's good & fresh,good fresh,1
Very very fresh ,fresh,1
fresh and crispy,fresh crispy,0
good experience ,good experience,1
quality not goid,quality good,0
fresh and nice ,fresh nice,1
great and fresh,great fresh,1
good and fresh ,good fresh,1
Really freshhh!,really fresh,0
fresh and tasty,fresh tasty,0
good experience,good experience,1
good and fresh,good fresh,1
Fresh & green ,fresh green,0
Good products ,good products,1
fresh as usual,fresh usual,0
Very expensive,expensive,0
Fresh Products,fresh products,0
Good quality ,good quality,1
Good quality ,good quality,1
good quality ,good quality,1
Good quality ,good quality,1
good quality,good quality,1
fresh gooood,fresh ground,0
perfect buy,perfect,1
✨nice fresh,nice fresh,0
fresh....👌,fresh,0
acha + Sasta + Bhout Acha,acha sasta acha,0
"wow,fresh",fresh,0
nice fresh,nice fresh,1
best the.,best,1
so fresh,fresh,1
acha tha,acha,0
ache the,actually,-1
Fresh ,fresh,0
fresh ,fresh,0
fresh,fresh,0
fresh,fresh,0
fresh,fresh,0
fresh,fresh,0
fresh,fresh,0
Fresh,fresh,0
"100% Original Pump, works perfect, not any issue. very reasonable in price. good work.",100 original pump works perfectly issue reasonable price good work,1
good product. receive on time.,good products received time,1
Product is of good quality and is very convenient and easy to use. The price is quite reasonable as well. Packaging was also good and it was delivered on time.,product good quality convenient easy use price quite reasonable well packaging also good delivered time,1
Good quality in this Price and Super fast Delivery,good quality price super fast delivery,1
"excellent quality
package was good
economical rate
built quality is great",excellent quality package good economical rate build quality great,1
Satisfied with product same as shown in picture and quality is also good. ,satisfied product shown picture quality also good,1
Bhetreen Quality hai or easy to use hai Thank you,quality high easy use thank,1
I m little bit confused after seeing box quality is this original BESTIN product or not? anyways in this price quality of product fine.  ,I little bit confused seeing box quality original best product anyways price quality product fine,1
what A beautiful and amazing thing and also useful bohat kamal order thora late mila but am.happy after use it thanks🍥,beautiful amazing thing also useful camel order late mila happy use thanks,1
"Very Good in result, economical price. thank you",good result economical price thank,1
"AoA, i got my parcel yesterday, it is very useful , quality wise superb ,highly recommended , total trustable thank you soo much",ago got parcel yesterday useful quality wise superb highly recommended total trustworthy thank much,1
I am fully satisfied from this item this is very good quality wise same as shown in picture . Thank you draz,I fully satisfied item good quality wise shown picture thank draw,1
superb as shown in pic recommded to everyon who need ths bs dilvery slow hai wese sb axha h thanku,superb shown pic recommended everyone needs delivery slow axha thanks,1
amazing product very usefull especially for mother's..also nicely packed thanks sellar ,amazing product useful especially mothers also nicely packed thanks seller,1
Excellent and very usefull product for all newly moms.. recommended from my side,excellent useful product newly moms recommended side,1
awesome product timely delivered thank you it's amazing highly recommended,awesome product timely delivered thank amazing highly recommended,1
Product was good and realy helpful,product good real helpful,1
Same as shown in pic.👌👌👍👍👍👍,shown pic,0
nice product..highly recommended,rice product highly recommended,1
Best pump highly recommended 👌,best pump highly recommended,1
as described. good delivery,described good delivery,1
very nice as expected. ,nice expected,1
Exactly what I was looking for. it does noy hurt my baby and he lets me clean his teeth and enjoys it. ,exactly I looking hurt baby lets clean teeth enjoys,1
bht alla thnx all,things,0
good quality and soft but didnt use it yet,good quality soft did nt use yet,0
It would be great if had a box to places it. However totally satisfied with quality my lil chum use it as teether soft bristle . ,would great box place however totally satisfied quality lil chum use teether soft bristles,1
"Boht acha hay Teeth Brush, Soft hay boht",acha hay teeth brush soft hay,0
thanks same hai ,thanks,1
This is a very good brush for children. I would advise everyone to take it,good brush children would advise everyone take,1
"Good quality. 
always satisfied with this store",good quality always satisfied store,1
Good product thanks daraz ,good product thanks daraz,1
Awesome Quality.. 👍👍👍👍,awesome quality,1
Had ordered due to its unavailability medical stores. delivered on time. A class product for sensitive skin,ordered due unavailability medical stores delivered time class product sensitive skin,0
"I was not able to find this sunblock  for my baby due to lock down..but here i found n parched it
.thank you",I able find unblock baby due lock found parched thank,1
good but it's actual price was less🥺,good actual price less,0
"Crystal water ball is looking fantastic👍
as compare to price it is so good product for home❤
Decorate your bowl with colorful balls👌
Suggest to buy this product 💯",crystal water ball looking fantastic compared price good product home decorate bowl colorful balls suggest buy product,1
awesome and amazing😍😘👍,awesome amazing,1
"packing was nic and the balls grow nicly and the seller is good person
I recommend to buy this in reasonable price",packing nice balls grow nicely seller good person I recommend buy reasonable price,1
best product hai is price ma quality be buhat achi hai or market price sa bhe kam rate hai 👌 packing be buhat achi hai,best product price place quality achieving high market price rate packing buhat achi,1
its the large size not good even ma nay is ko 24 hour rakha phir bhi ye itnay size kay rahay,large size good even nay 24 hour rakha phir bhi itnay size may rahay,-1
Size 1 din Pura pani me rkhne se bhe koi increase nai Hua quantity km lgrai the but mne socha chalo khair Hai but quality poor Hai but delivered before time ,size 1 pura pani rkhne koi increase via hua quantity km lgrai one socha chalo khair quality poor delivered time,-1
"bhut zberdast thi ye Balls , thank you so much seller and also daraz , everyone buy this product , happy shopping",overcast ye thank much sellers also everyone buy product happy shopping,1
"Delivery - Before expected time.
Quality - Seems ok. Some balls grows more than others. ",delivery expected time quality seems like balls grows others,0
product to achi lag rahi baqi dekhtty ab,product achieve lag rahi baby dekhtty,-1
it was not fully grown but it's ok...,fully grown ok,0
ok h....same as shown.....but when  I have dip them in water for 12 hours  all are in different sizes......sab abaray nahi huy......pink r transparent Baray huy hn...bs ....pic me dekh sakty hn .....80%chotay he reh gy hn...and they r useless for us ...coz I want to use them in toy gun as a water bullet.....instead I have 3 stars.......huhhh...,shown dip water 12 hours different sizes abaray nahi guy pink transparent baray guy bs pick dekh sakty 80 chotay red gy useless us want use toy gun water bullet instead 3 stars high,-1
Thanks daraz l am very happy,thanks daraz l happy,1
"Balls ka size increases nahi howa 
Bilkul fazool quality 
 Nobody  buy this from this buyer
Total waste of money",balls car size increases nahi bilkul fashion quality nobody buys buyer total waste money,-1
absolutely pathetic way of sending. there was no proper packing. while opening the package the orbeez crystal balls were spilling everywhere. sorry never again. ,absolutely pathetic way sending proper packing opening package orange crystal balls spilling everywhere sorry never,-1
A very bad experience indeed. Received some paper soap instead of hydrogel balls.. Extremely disappointed ,bad experience indeed received paper soap instead hydrogel balls extremely disappointed,-1
Very very very good thingy nd love the soaps nd will order more whenever needed. I thanks to seller thanks Daraz nd ThankYou for a helpful thingy,good things love soaps order whenever needed thanks seller thanks daraz thankyou helpful thing,1
"It's too small in size.  Max Price should be Rs 50 only. 
I think its cheaper in local market ",small size max price would 50 I think cheaper local market,0
Balls are very nice and I like Them very very very much Thanks Daraz,balls nice like much thanks daraz,1
Really good! It has grew a lot in such less time. Worth it!,really good grew lot less time worth,1
There were not more than 500 pcs    and they didn't growed,500 pieces grow,0
"more than my expectations .
excellent , thanks a lot.",expectations excellent thanks lot,1
The packaging was bad but the product was very good,packaging bad product good,1
very bad quality and not 2000 they are just 100,bad quality 2000 100,-1
nice product.. i m happy buy this product 😊,nice product happy buy product,1
achi service hai or ac nice thank you draz ,service nice thank drank,1
Bohat chooti balls hain..not good..,boats school balls good,0
Good product and I recommend it.,good product recommend,1
it's really nice I'm satisfied ,It really nice I satisfied,1
They are not going to grow much,going grow much,0
I really love the quality ,I really love quality,1
loved the orbeeeeeeeez,loved orbeeeeeeeez,1
Very good product.. ,good product,1
Thank you same ,thank,1
Aslam o Alaikum sir. quality is awesome. delivery is very fast. packing is so beautiful. thanks seller keep it up. thanks alot ,aslam aleikum air quality awesome delivery fast packing beautiful thanks sellers keep thanks alot,1
very good experience. I'll order more in coming days. I am highly recommended. ,good experience order coming days highly recommended,1
"good quality received dear, Thanks",good quality received dear thanks,1
it is ok not very good a bit hard,ok good bit hard,0
Average quality pillows,average quality pillows,0
In this price it's ok,price ok,0
good pillows .,good pillows,1
best pillow,best pillow,1
"awesome quality 👍
very soft nipple 
Good for babies
💯 recommend
thank you ☺️",awesome quality soft nipple food babies recommend thank,1
"Great experience, owsam product, recommended to all",great experience wisdom products recommended,1
I liked these diapers.affordable and perfect size for mybbaby,I liked diapers affordable perfect size mybbaby,1
Thankyou for delivering the same product.🙌🏽,thankyou delivering product,0
perfect safe packing and best milk. this milk power soft pack rarely available and is not available in local market.best product in discounted price.thanks,perfect safe packing best milk milk power soft pack rarely available available local market best products discounted price thanks,1
perfect packing and best milk this milk rarely available and is not available in local market.best product in discounted price.thanks,perfect packing best milk milk rarely available available local market best products discounted price thanks,1
packing is little damage from side but product is safe.good product deliver on time.thanks daraz for giving us a platform for safe shopping.,packing little damage side products safe good product delivery time thanks data giving us platform safe shopping,1
Delivered with in 24 hours. Price is also less from market. Good packing and expiry date is 2022. Nice experience will order again for sure :),delivered 24 hours price also less market food packing expiry date 2022 nice experience order sure,1
"Philippine make original product, bought first time from draz. fresh production, expiry date of 2022.",philippine make original products bought first time raw fresh production expiry date 2022,1
great product delivery on time low price from market with long expiry.pics attached of expiry date to help others. Thanx daraz.😚😚😚,great product delivery time low price market long expiry picks attached expiry date help others daraz,1
Completely satisfied with the quality of the product and also the packaging was fine and shipment was quick with competitive rates. ,completely satisfied quality product also packaging fine shipment quick competitive rates,1
Thank you Nestle and daraz for such a great product at low price with long expiry. Recommend👍🏻,thank nestle daraz great product low prices long expiry recommend,1
"delivered in time,recommended, original product thanks daraz n seller",delivered time recommended original product thanks daraz seller,1
i have ordered many times. free shipping + 10% off. awesome it is...,I ordered many times free shipping 10 awesome,1
"nice original product,fresh product,good packing delivered in time, recommended, thanks daraz seller",nice original products fresh products food packing delivered time recommended thanks daraz seller,1
I am in love with these packs. I am a frequent buyer. They are usually not available in the market. Thank you very much,I love packs frequent buyer usually available market thank much,1
satisfied with the product and this is cheaper than tin pack. good seller and good product. thanks daraZ,satisfied product cheaper tin pack good sellers good product thanks daraz,1
Product is original. i like it and will buy again thanks daraz and nestle for this..always trusted ,product original I like buy thanks daraz nestle always trusted,1
ordered again. i love it. got free shipping and discount. ,ordered I love got free shipping discount,1
nice experience recommended to every one...thanks daraz,nice experience recommended every one thanks daraz,1
well packed parcel...recieved within delivery time.. good quality product in best price.,well packed parcel received within delivery time good quality products best price,1
Good product at reasonable price. rarely available i this package ad price in market.,good product reasonable price rarely available package price market,1
"Genuine Product
Produced by Philippines
with Expiry date of almost one year",genuine product produced philistines expiry date almost one year,0
Thank you seller this item wass too good original nan 1 good quality and pakcking was also gud thank you soo much ,thank seller item good original 1 good quality packing also good thank much,1
Delivered on time. price cheap compare to Tin pack. Made in philippines. excellent soft packing with year long expiry date. highly recommended. only drawback is not available in local market and stock at Daraz runs out within hours. Kindly restock more frequently. ,delivered time price cheap compared tin pack made philippines excellent soft packing year long expiry date highly recommended drawback available local markets stock daraz runs within hours kindly restock frequently,1
"Original product with excellent shipping service,
100% recommended",original product excellent shipping service 100 recommended,1
Ordered many times. Cheaper rate and good expiry date,ordered many times cheaper rate good expiry date,1
very good packing and same quality with discount   ,good packing quality discount,1
Great service received on time thank you Daraz ,great service received time thank daraz,1
great thanks daraz good job original product,great thanks done good job original product,1
original product good service. recommended,original product food service recommended,1
Very good product and timely deliveries ,good product timely deliveries,1
Awesome buy. Will definitely be ordering more soon. 👍🏽👍🏽👍🏽,awesome definitely ordering soon,1
great product with long expiry,great product long expiry,1
thanx daraz and Nestle,thank daraz nestle,0
"original item , thanks",original item thanks,1
Super Fast delivery. Fresh stock. in reasonable price.,super fast delivery fresh stock reasonable price,1
It is very good milk powder as starter formula,good milk powder starter formula,1
Should increase this item limit from 3 to 5,increase item limit 3 5,0
packaging was good. highly recommended. ,packaging good highly recommended,1
nice packing increase the quantity..,nice packing increase quantity,1
Amazing product most recommended ,amazing product recommended,1
Perfect Product . A-one packing,perfect product one packing,1
good packing. nice experience,good packing nice experience,1
nice packing and good price,nice packing good prices,1
Fully satisfied 🙂,fully satisfied,1
nice packaging. delivered on time. recommended for everyone. I have purchased this product first time and it was very good experience . thank you nestle.,nice packaging delivered time recommended everyone I purchased product first time good experience thank nestle,1
Order delivered on time. This product is not available locally in market so thanks to Daraz for delivering this product. This product is good with a far expiration date. Recommended,order delivered time product available locally market thanks data delivering product product good fair expiration date recommended,1
I know this is good product. Yet not opened box. But I am sure I will order more. This is in less price ,I know good product yet opened box sure order less price,1
Product is excellent but delivery courier service is very bad they didn't deliver at door.so please next time choose a good courier service company. ,product excellent delivery courier service bad deliver door please next time choose good courier service company,1
Delivered in good packing. I have yet to use this but hoping for best. Daraz should lower the delivery charges ,delivered good packing yet use hoping best data lower delivery charges,1
"Expensive as compared to open market, after ordering by chance i bought from clinix and they give me in 662, from daraz i bought in 720",expensive compared open market ordering chance bought clinics give 662 daraz bought 720,0
Everything is good just delivery takes too much time. 5 days. delivery should b improve,everything good delivery takes much time 5 days delivery improved,1
original product made in Philippines.... 350 grams same as advertised.,original products made philosophies 350 grams came advertised,0
original product highly recommend i am highly stisfied thanks seller.,original products highly recommend I highly satisfied thanks seller,1
"Good packaging,, decent rates with good quality n timed delivery",good packaging decent rates good quality timed delivery,1
Timely lifesaver! Thank you daraz for the speedy delivery! ,timely lifesaver thank daraz speedy delivery,1
Happy with the product received. Thanks daraz and team. ,happy product received thanks data team,1
Excellent quality. Good seller and delivered very fast,excellent quality good seller delivered fast,1
"as described, 100% satisfied, delivery was a bit late",described 100 satisfied delivery bit late,1
Great packing timely delivery highly recommended 🤗,great packing timely delivery highly recommended,1
Product is as specified and delivered on time. ,product specified delivered time,0
packing is good and expiry is also upto 1 year,packing good expiry also upto 1 year,1
Good product  bt now i want nan 2 in 350 grams,good product want 2 350 grams,1
On tie delivery with best quality product. ,delivery best quality products,1
original product but a little expensive ,original product little expensive,0
satisfied with product  price as well ,satisfied product price well,1
Excellent service and fast delivery ,excellent service fast delivery,1
Amazing product most recommended ,amazing product recommended,1
good product but a little costly,good product little costly,0
"best product, timely delivered ",best product timely delivered,1
It was good.  Recommended 👍,good recommended,1
thank you so much lovely ,thank much lovely,1
"Satisfied, Thank you",satisfied thank,1
"original , on time",original time,0
thanks to daraz,thanks data,1
great purchase,great purchase,1
Disappointed first time using broke alos was very tough i wanna return this and on top ordered multicolour ,disappointed first time using broken also tough I wan na return top ordered multicolour,-1
it a nice smooth snake and turns and twists well. I definitely recommend,nice smooth snake turns twists well definitely recommend,1
Nice toy.. Kids loved it and very good quality ,nice toy kids loved good quality,1
"Good Product & well packed.
Same as described on daraz.
powder Quality is Good.
Recommended 
Buyers can check Quality of powder from Photo shared.",good products well packed described dress powder quality good recommended buyers check quality powder photo shared,1
"finally yeah available hoi kindly is red chilli powder ka stock zyda rkha Karain kafi din check krti rhi phir  ja k yeah available HOA.qk pehla experience Acha rha jazaa ki assorted cookies, versimile and cake rusk Ka is lie Mai or b products order kie Hain.",finally yeah available kindly red chilli powder ka stock zyda rkha karain kafi check krti rhi phir ja k yeah available hot pehla experience acha rha jazaa ki assorted cookies versimile cake rusk ka lime mai b products order like hain,1
well packed receive on time  taste is good  many time i have bought jazaa food 10/10,well packed receive time taste good many times bought jazz food 10 10,1
"Wonderful experienced to bought these (Jazaa 
Red Chili Powder) it was my second time experience to purchased this product it was totally amazing their products are economical price.Product was well packed and deliver on time. Seller is so responsive! Highly Recommended... Thank you daraz and team for doing wonderful job in current situation. :) ",wonderful experienced buy jazz red chili powder second time experience purchased product totally amazing products economical price product well packed delivered time seller responsive highly recommended thank daraz team wonderful job current situations,1
good . A lot of my shopping  is missing You have paid Have you taken delivery charges 150 rupees. This time i'm not happy shopping 😏 ,good lot shopping missing paid taken delivery charges 150 rupees time happy shopping,-1
very good product ,good product,1
100% Recommended........ Thankyou so much Seller and Daraz.,100 recommended thankyou much seller daraz,0
100% Recommended...... Thankyou so much Seller and Daraz.,100 recommended thankyou much seller daraz,0
Did not checked yet. But expect to be great,checked yet expect great,1
outstanding thanks,outstanding thanks,1
"Great, My baby love the flavor very much, perfect product the taste so nice i am so glad to found it on line...",great baby love flavor much perfect product taste nice glad found like,1
"Authentic product. Received with in 2 days in discounted price..
Recommended",authentic products received 2 days discounted price recommended,0
"nice packing.
nice taste, my baby liked it.",nice packing nice taste baby liked,1
Authentic Product. Highly Recommended.,authentic product highly recommended,0
Received them on time and as advertised.This is my regular purchase from daraz.Really delighted.Thanks daraz and seller.,received time advertised regular purchase daraz really delighted thanks data seller,0
arrived within given timeline. properly packed. price same as that of market price. overall satisfied,arrived within given timeline properly packed price market price overall satisfied,1
original products in reasonable price and delivery time,original products reasonable price delivery time,0
"Nice product، 
well packaging
، timely delivery 
discounted price than market 
thanks",nice products full packaging timely delivery discounted price market thanks,1
delivered before delivery timeline fresh stock 👍 👍.  Darazamall recommended,delivered delivery timeline fresh stock darazamall recommended,1
"Excellent product for baby with discount ،
awesome  service by daraz  thanks ",excellent product baby discount awesome service data thanks,1
"original product, delivered on time, price less than market, baby loves it",original product delivered time price less market baby loves,1
properly packed. price same as that of market price. overall satisfied,property packed price market price overall satisfied,1
"very well packaging and delivery if product, satisfied with seller ",well packaging delivery products satisfied sellers,1
"Excellent Service and the product is good as described , delivered a bit late then expected over all good experience",excellent service product good described delivered bit late expected good experience,1
Thanks daraz.. it's same a shown in picture .. highly recommend.,thanks data shown pictures highly recommended,1
nice product delevery on time,nice product delivery time,1
product was as described in the picture and delivered timely,product described picture delivered timely,0
great thanks daraz good job original product,great thanks done good job original product,1
great thanks daraz good job original product,great thanks done good job original product,1
very nice and orignal cerelac must buy ,nice original cereal must buy,1
"very energetic food for my cute baby girl.
i recommend to all buy this ",energetic food cute baby girl recommend buy,1
It's a good and wonderful product.,good wonderful product,1
Gud and original product ,good original product,0
"same as advertised on web, packing was great",advertised web packing great,1
My forever favorite. I've been a regular customer from last year. Thanks for the original products. Worth buying. Keep up the good work. ,forever favorite regular customer last year thanks original products worth buying keep good work,1
The prizes are comparatively low from the local market.  Product is original and delivered on time. Worth buying. Recommended ,prizes comparatively low local market product original delivered time worth buying recommended,1
"Received in good condition and good packing, timely received. thanks will shop again in sha Allah.",received good condition good packing timely received thanks shop allah,1
"FIVE STAR SELLER...!! ORIGNAL ITEMS, I AM HAPPY WITH MY ORDER.. FAST DELIVERY. THANK YOU DARAZ",five star seller original items happy order fast delivery thank daraz,1
product is original and I got it In lower price than market Alhamdulilah,product original I got lower price market alhamdulilah,0
Original Product and received in good packaging.  Very good Experience. ,original product received good packaging good experience,1
I didnot get the parcel and getting a msg that parcel has been deliverd,I did nt get parcel getting bag parcel delivered,0
Its Original product and I've got it at a discounted price than market,original product I got discounted price market,1
"Original product fast delivery  thanks nestle cerelac, daraz & tcs",original product fast delivery thanks nestle cerelac daraz tcs,1
Original product with low price from market..Fully satisfied,original product low price market fully satisfied,1
Its Original product in discounted price thanks Seller,original product discounted price thanks seller,1
very nice safety k sath receive ho gya thanks seller ,nice safety k receive gya thanks seller,1
Received as expected.Thank you seller and daraz .,received expected thank sellers daraz,0
My baby really love this flavour. Its great. ,baby really loves flavour great,1
I m happy.. Thankx daraz on more discount.. ,I happy thanks daraz discount,0
received on time good quality product ,received time good quality product,1
very quick service with best quality,quick service best quality,1
very quick delivery... good service,quick delivery good service,1
Packing was good.   Good price.  ,packing good good price,1
Same as advertised and original,advertised original,0
Original & authentic quality,original authentic quality,0
"Long expiry date
Satisfied ",long expiry date satisfied,1
its was awesome experience,awesome experience,1
great experience as usual,great experience usual,1
original product thanks,original product thanks,1
Very slow delivery.,slow delivery,0
"Excellent Quality Product , 👍 . Express Delivery Was Very Fast , Delivered Same Day in Lahore , in 8 hours , 👍 . Product is Genuine by Seasons , Came From Daraz Warehouse , 🚚 . Packing was very Good , Leakage Proof , Delivered by TCS , 👌 .",excellent quality product express delivery fast delivered day labor 8 hours genuine seasons came daraz warehouse packing good leakage proof delivered,1
Received timely 100% excellent item with excellent packing. Seller is recommended. Same as shown in picture.,received timely 100 excellent items excellent packing seller recommended shown picture,1
Received timely 100% excellent item with excellent packing. Seller is recommended. Same as shown in picture.,received timely 100 excellent items excellent packing seller recommended shown picture,1
very quick delivery...dispatchers of daraz are very nice.well packed👍thank you daraz.I am happy,quick delivery dispatchers daraz nice well packed thank daraz happy,1
"well packed, deliver on time, receive as described 100% recommended, this i my 2nd ordr",well packed delivery time receive described 100 recommended 2nd order,1
"Original product, Fresh stock, reasonable price, fast delivery, 100% recommended",original produce fresh stock reasonable price fast delivery 100 recommended,1
Received timely 100% excellent item with excellent packing. Seller is recommended. Same as shown in picture.,received timely 100 excellent items excellent packing seller recommended shown picture,1
